BASE_DIR: C:\code\Systematic Trading\cursor. Лог файл: C:\code\Systematic Trading\cursor\private\instruments_status.log. Вход в функцию instruments_status
Запрос статуса инструментов: 928 записей найдено
Инструмент ID 3276: instrument: HYDR, contract: 20231200
Инструмент ID 3277: instrument: HYDR, contract: 20250600
Инструмент ID 3278: instrument: HYDR, contract: 20250300
Инструмент ID 3279: instrument: HYDR, contract: 20240900
Инструмент ID 3280: instrument: HYDR, contract: 20240600
Инструмент ID 3281: instrument: HYDR, contract: 20241200
Инструмент ID 3282: instrument: INR, contract: 20251200
Инструмент ID 3283: instrument: INR, contract: 20230900
Инструмент ID 3284: instrument: INR, contract: 20240300
Инструмент ID 3285: instrument: INR, contract: 20231200
Инструмент ID 3286: instrument: INR, contract: 20250300
Инструмент ID 3287: instrument: INR, contract: 20250900
Инструмент ID 3288: instrument: INR, contract: 20240900
Инструмент ID 3289: instrument: INR, contract: 20240600
Инструмент ID 3290: instrument: INR, contract: 20241200
Инструмент ID 3291: instrument: IPO, contract: 20250600
Инструмент ID 3292: instrument: IPO, contract: 20250300
Инструмент ID 3293: instrument: IPO, contract: 20241200
Инструмент ID 3302: instrument: ISKJ, contract: 20230900
Инструмент ID 3303: instrument: ISKJ, contract: 20240300
Инструмент ID 3304: instrument: ISKJ, contract: 20231200
Инструмент ID 3305: instrument: ISKJ, contract: 20250600
Инструмент ID 3306: instrument: ISKJ, contract: 20250300
Инструмент ID 3307: instrument: ISKJ, contract: 20240900
Инструмент ID 3308: instrument: ISKJ, contract: 20240600
Инструмент ID 3309: instrument: ISKJ, contract: 20241200
Инструмент ID 3310: instrument: UJPY, contract: 20230900
Инструмент ID 3311: instrument: UJPY, contract: 20240300
Инструмент ID 3312: instrument: UJPY, contract: 20231200
Инструмент ID 3313: instrument: UJPY, contract: 20250300
Инструмент ID 3314: instrument: UJPY, contract: 20240900
Инструмент ID 3315: instrument: UJPY, contract: 20240600
Инструмент ID 3316: instrument: UJPY, contract: 20241200
Инструмент ID 3317: instrument: KMAZ, contract: 20230900
Инструмент ID 3318: instrument: KMAZ, contract: 20240300
Инструмент ID 3319: instrument: KMAZ, contract: 20231200
Инструмент ID 3320: instrument: KMAZ, contract: 20250600
Инструмент ID 3321: instrument: KMAZ, contract: 20250300
Инструмент ID 3322: instrument: KMAZ, contract: 20240900
Инструмент ID 3323: instrument: KMAZ, contract: 20240600
Инструмент ID 3324: instrument: KMAZ, contract: 20241200
Инструмент ID 3325: instrument: KZT, contract: 20230900
Инструмент ID 3326: instrument: KZT, contract: 20240300
Инструмент ID 3327: instrument: KZT, contract: 20231200
Инструмент ID 3328: instrument: KZT, contract: 20250300
Инструмент ID 3329: instrument: KZT, contract: 20240900
Инструмент ID 3330: instrument: KZT, contract: 20240600
Инструмент ID 3331: instrument: KZT, contract: 20241200
Инструмент ID 3332: instrument: LEAS, contract: 20250600
Инструмент ID 3333: instrument: LEAS, contract: 20250300
Инструмент ID 3334: instrument: LEAS, contract: 20240900
Инструмент ID 3335: instrument: LEAS, contract: 20240600
Инструмент ID 3336: instrument: LEAS, contract: 20241200
Инструмент ID 3337: instrument: LKOH, contract: 20230900
Инструмент ID 3338: instrument: LKOH, contract: 20240300
Инструмент ID 3339: instrument: LKOH, contract: 20231200
Инструмент ID 3340: instrument: LKOH, contract: 20250600
Инструмент ID 3341: instrument: LKOH, contract: 20250300
Инструмент ID 3342: instrument: LKOH, contract: 20240900
Инструмент ID 3343: instrument: LKOH, contract: 20240600
Инструмент ID 3344: instrument: LKOH, contract: 20241200
Инструмент ID 3345: instrument: MMI, contract: 20230900
Инструмент ID 3346: instrument: MMI, contract: 20240300
Инструмент ID 3347: instrument: MMI, contract: 20231200
Инструмент ID 3348: instrument: MMI, contract: 20250300
Инструмент ID 3349: instrument: MMI, contract: 20240900
Инструмент ID 3350: instrument: MMI, contract: 20240600
Инструмент ID 3351: instrument: MMI, contract: 20241200
Инструмент ID 3352: instrument: MTLR, contract: 20230900
Инструмент ID 3353: instrument: MTLR, contract: 20240300
Инструмент ID 3354: instrument: MTLR, contract: 20231200
Инструмент ID 3355: instrument: MTLR, contract: 20250600
Инструмент ID 3356: instrument: MTLR, contract: 20250300
Инструмент ID 3357: instrument: MTLR, contract: 20240900
Инструмент ID 3358: instrument: MTLR, contract: 20240600
Инструмент ID 3359: instrument: MTLR, contract: 20241200
Инструмент ID 3360: instrument: MOEX, contract: 20230900
Инструмент ID 3361: instrument: MOEX, contract: 20240300
Инструмент ID 3362: instrument: MOEX, contract: 20231200
Инструмент ID 3363: instrument: MOEX, contract: 20250600
Инструмент ID 3364: instrument: MOEX, contract: 20250300
Инструмент ID 3365: instrument: MOEX, contract: 20240900
Инструмент ID 3366: instrument: MOEX, contract: 20240600
Инструмент ID 3367: instrument: MOEX, contract: 20241200
Инструмент ID 3377: instrument: MAGN, contract: 20230900
Инструмент ID 3378: instrument: MAGN, contract: 20240300
Инструмент ID 3379: instrument: MAGN, contract: 20231200
Инструмент ID 3380: instrument: MAGN, contract: 20250600
Инструмент ID 3381: instrument: MAGN, contract: 20250300
Инструмент ID 3382: instrument: MAGN, contract: 20240900
Инструмент ID 3383: instrument: MAGN, contract: 20240600
Инструмент ID 3384: instrument: MAGN, contract: 20241200
Инструмент ID 3385: instrument: MXI, contract: 20260300
Инструмент ID 3386: instrument: MXI, contract: 20251200
Инструмент ID 3387: instrument: MXI, contract: 20230900
Инструмент ID 3388: instrument: MXI, contract: 20260900
Инструмент ID 3389: instrument: MXI, contract: 20260600
Инструмент ID 3390: instrument: MXI, contract: 20261200
Инструмент ID 3391: instrument: MXI, contract: 20250600
Инструмент ID 3392: instrument: MXI, contract: 20240300
Инструмент ID 3393: instrument: MXI, contract: 20231200
Инструмент ID 3394: instrument: MXI, contract: 20270300
Инструмент ID 3395: instrument: MXI, contract: 20250300
Инструмент ID 3396: instrument: MXI, contract: 20270600
Инструмент ID 3397: instrument: MXI, contract: 20271200
Инструмент ID 3398: instrument: MXI, contract: 20250900
Инструмент ID 3399: instrument: MXI, contract: 20240900
Инструмент ID 3400: instrument: MXI, contract: 20240600
Инструмент ID 3401: instrument: MXI, contract: 20241200
Инструмент ID 3402: instrument: MGNT, contract: 20230900
Инструмент ID 3403: instrument: MGNT, contract: 20240300
Инструмент ID 3404: instrument: MGNT, contract: 20231200
Инструмент ID 3405: instrument: MGNT, contract: 20250600
Инструмент ID 3406: instrument: MGNT, contract: 20250300
Инструмент ID 3407: instrument: MGNT, contract: 20240900
Инструмент ID 3408: instrument: MGNT, contract: 20240600
Инструмент ID 3409: instrument: MGNT, contract: 20241200
Инструмент ID 3410: instrument: MTSI, contract: 20230900
Инструмент ID 3411: instrument: MTSI, contract: 20240300
Инструмент ID 3412: instrument: MTSI, contract: 20231200
Инструмент ID 3413: instrument: MTSI, contract: 20250600
Инструмент ID 3414: instrument: MTSI, contract: 20250300
Инструмент ID 3415: instrument: MTSI, contract: 20240900
Инструмент ID 3416: instrument: MTSI, contract: 20240600
Инструмент ID 3417: instrument: MTSI, contract: 20241200
Инструмент ID 3418: instrument: MVID, contract: 20230900
Инструмент ID 3419: instrument: MVID, contract: 20240300
Инструмент ID 3420: instrument: MVID, contract: 20231200
Инструмент ID 3421: instrument: MVID, contract: 20250600
Инструмент ID 3422: instrument: MVID, contract: 20250300
Инструмент ID 3423: instrument: MVID, contract: 20240900
Инструмент ID 3424: instrument: MVID, contract: 20240600
Инструмент ID 3425: instrument: MVID, contract: 20241200
Инструмент ID 3426: instrument: MIX, contract: 20251200
Инструмент ID 3427: instrument: MIX, contract: 20230900
Инструмент ID 3428: instrument: MIX, contract: 20240300
Инструмент ID 3429: instrument: MIX, contract: 20231200
Инструмент ID 3430: instrument: MIX, contract: 20250600
Инструмент ID 3431: instrument: MIX, contract: 20250300
Инструмент ID 3432: instrument: MIX, contract: 20250900
Инструмент ID 3433: instrument: MIX, contract: 20240900
Инструмент ID 3434: instrument: MIX, contract: 20240600
Инструмент ID 3435: instrument: MIX, contract: 20241200
Инструмент ID 3440: instrument: NIKK, contract: 20251200
Инструмент ID 3441: instrument: NIKK, contract: 20240300
Инструмент ID 3442: instrument: NIKK, contract: 20231200
Инструмент ID 3443: instrument: NIKK, contract: 20250600
Инструмент ID 3444: instrument: NIKK, contract: 20250300
Инструмент ID 3445: instrument: NIKK, contract: 20250900
Инструмент ID 3446: instrument: NIKK, contract: 20240900
Инструмент ID 3447: instrument: NIKK, contract: 20240600
Инструмент ID 3448: instrument: NIKK, contract: 20241200
Инструмент ID 3449: instrument: NASD, contract: 20251200
Инструмент ID 3450: instrument: NASD, contract: 20240300
Инструмент ID 3451: instrument: NASD, contract: 20231200
Инструмент ID 3452: instrument: NASD, contract: 20250600
Инструмент ID 3453: instrument: NASD, contract: 20250300
Инструмент ID 3454: instrument: NASD, contract: 20250900
Инструмент ID 3455: instrument: NASD, contract: 20240900
Инструмент ID 3456: instrument: NASD, contract: 20240600
Инструмент ID 3457: instrument: NASD, contract: 20241200
Инструмент ID 3460: instrument: NICKEL, contract: 20250600
Инструмент ID 3461: instrument: NICKEL, contract: 20250300
Инструмент ID 3462: instrument: NICKEL, contract: 20241200
Инструмент ID 3463: instrument: NG, contract: 20230900
Инструмент ID 3464: instrument: NG, contract: 20240500
Инструмент ID 3465: instrument: NG, contract: 20250300
Инструмент ID 3466: instrument: NG, contract: 20250100
